Curva;Tipo_De_Material;Setor_Industrial;Unidade_Volume;Custo (R$);Movimentação;Movimentação X Custo
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;2000;789;1578000
B;PRODUTO_ACABADO;COMÉRCIO;TONELADA;1950;789;1538550
B;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;TONELADA;1750;876;1533000
B;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;TONELADA;1900;789;1499100
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;TONELADA;1850;789;1459650
B;PRODUTO_MATERIA_PRIMA;QUÍMICA;TONELADA;1850;789;1459650
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;TONELADA;2100;678;1423800
B;PRODUTO_SEMIACABADO;QUÍMICA;TONELADA;1750;789;1380750
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1900;678;1288200
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1800;678;1220400
B;PRODUTO_SEMIACABADO;COMÉRCIO;TONELADA;1800;678;1220400
B;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;5100;234;1193400
B;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;TONELADA;1750;678;1186500
B;PRODUTO_ACABADO;QUÍMICA;TONELADA;1750;654;1144500
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;TONELADA;2100;543;1140300
B;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;GRAMA;4800;234;1123200
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;2000;543;1086000
B;PRODUTO_SEMIACABADO;COMÉRCIO;TONELADA;1700;543;923100
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;TONELADA;1900;456;866400
B;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;TONELADA;1700;456;775200
B;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;TONELADA;1500;456;684000
B;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;GRAMA;5400;123;664200
B;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;TONELADA;1700;345;586500
B;PRODUTO_ACABADO;QUÍMICA;TONELADA;2050;234;479700
B;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;TONELADA;2000;234;468000
B;PRODUTO_ACABADO;COMÉRCIO;TONELADA;1950;234;456300
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1950;234;456300
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRAL;TONELADA;1900;234;444600
B;PRODUTO_SEMIACABADO;QUÍMICA;TONELADA;1900;234;444600
B;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;TONELADA;1550;234;362700
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;LIBRA;230;987;227010
B;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;LIBRA;250;890;222500
B;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;LIBRA;250;890;222500
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;240;876;210240
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;240;876;210240
C;PRODUTO_COMERCIALIZÁVEL;CONSTRUÇÃO_INDUSTRIAL;LIBRA;210;987;207270
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;230;890;204700
C;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;LIBRA;250;789;197250
C;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1600;123;196800
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;240;789;189360
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;200;890;178000
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;LIBRA;250;678;169500
C;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;LIBRA;250;678;169500
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;LIBRA;190;890;169100
C;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;LIBRA;190;876;166440
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;240;678;162720
C;PRODUTO_SEMIACABADO;COMÉRCIO;LIBRA;220;654;143880
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;210;678;142380
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;LIBRA;250;543;135750
C;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;LIBRA;200;678;135600
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;240;543;130320
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;LIBRA;190;678;128820
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;210;543;114030
C;PRODUTO_COMERCIALIZÁVEL;CONSTRUÇÃO_INDUSTRIAL;LIBRA;230;456;104880
C;PRODUTO_MATERIA_PRIMA;ENGENHARIA_MECÂNICA;UNIDADE;85;876;74460
C;PRODUTO_SEMIACABADO;QUÍMICA;UNIDADE;90;789;71010
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;UNIDADE;80;876;70080
C;PRODUTO_SEMIACABADO;QUÍMICA;UNIDADE;75;890;66750
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;270;234;63180
C;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;UNIDADE;70;890;62300
C;PRODUTO_SEMIACABADO;QUÍMICA;UNIDADE;90;678;61020
C;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;LIBRA;250;234;58500
C;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;UNIDADE;85;678;57630
C;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;UNIDADE;65;876;56940
C;PRODUTO_SEMIACABADO;QUÍMICA;UNIDADE;75;678;50850
C;PRODUTO_SEMIACABADO;QUÍMICA;UNIDADE;90;543;48870
C;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;UNIDADE;85;543;46155
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;UNIDADE;75;543;40725
C;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;KG;45;890;40050
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;40;890;35600
C;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;KG;52;678;35256
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;35;890;31150
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;45;678;30510
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;KG;30;890;26700
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;KG;38;678;25764
C;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;GRAMA;35;732;25620
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;KG;28;890;24920
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;KG;25;987;24675
C;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;LIBRA;200;123;24600
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;45;543;24435
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;UNIDADE;70;345;24150
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;UNIDADE;70;345;24150
C;PRODUTO_SEMIACABADO;CONSTRUÇÃO_INDUSTRIAL;KG;35;654;22890
C;PRODUTO_MATERIA_PRIMA;ENGENHARIA_MECÂNICA;KG;42;543;22806
C;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;LIBRA;180;123;22140
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;KG;28;789;22092
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;KG;32;678;21696
C;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;KG;32;654;20928
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;30;678;20340
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;KG;35;543;19005
C;MATERIAL_ALTO_VALOR;QUÍMICA;UNIDADE;75;234;17550
C;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;KG;45;345;15525
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;KG;28;543;15204
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;KG;32;456;14592
C;PRODUTO_SEMIACABADO;COMÉRCIO;KG;40;234;9360
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;38;234;8892
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;35;234;8190
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;KG;32;234;7488
