Curva;Tipo_De_Material;Setor_Industrial;Unidade_Volume;Custo (R$);Volume (m³)
C;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;LIBRA;230,00;0.0023
C;PRODUTO_ACABADO;QUÍMICA;GRAMA;4800,00;0.0001
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;TONELADA;1950,00;4.6
C;PRODUTO_SEMIACABADO;QUÍMICA;UNIDADE;80,00;0.014
C;MATERIAL_ALTO_VALOR;COMÉRCIO;KG;28,00;0.0013
C;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;LIBRA;240,00;0.0024
C;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;GRAMA;4600,00;0.00009
C;PRODUTO_ACABADO;QUÍMICA;TONELADA;2000,00;4.7
C;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;UNIDADE;70,00;0.013
C;PRODUTO_SEMIACABADO;COMÉRCIO;KG;30,00;0.0013
C;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;LIBRA;250,00;0.0025
C;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;5100,00;0.0001
C;PRODUTO_MATERIA_PRIMA;ENGENHARIA_MECÂNICA;TONELADA;2050,00;4.8
C;PRODUTO_SEMIACABADO;CONSTRUÇÃO_INDUSTRIAL;UNIDADE;75,00;0.015
C;PRODUTO_ACABADO;QUÍMICA;KG;38,00;0.0014
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;LIBRA;270,00;0.0027
C;PRODUTO_SEMIACABADO;QUÍMICA;GRAMA;5300,00;0.00012
