Curva;Tipo_De_Material;Setor_Industrial;Custo (R$);Volume (m³)
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;30,00;0.0013
C;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;250,00;0.0025
C;MATERIAL_ALTO_VALOR;QUÍMICA;5100,00;0.0001
C;PRODUTO_ACABADO;QUÍMICA;2050,00;4.8
C;PRODUTO_SEMIACABADO;COMÉRCIO;75,00;0.015
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;38,00;0.0014
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;270,00;0.0027
C;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;5300,00;0.00012
C;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;2100,00;4.9
C;PRODUTO_SEMIACABADO;CONSTRUÇÃO_INDUSTRIAL;90,00;0.016
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;38,00;0.0014
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;250,00;0.0025
C;MATERIAL_ALTO_VALOR;ENG. MECÂNICA;5400,00;0.0001
